,Name,Price,Kms_driven,Fuel_type,Year,Company
0,Hyundai Venue -,1019699,16112,4,2019,Hyundai
1,Honda Jazz -,713499,30988,4,2017,Honda
2,Hyundai i20 -,391099,69163,1,2013,Hyundai
3,Maruti Suzuki Swift,474299,42859,4,2015,Maruti
4,Toyota Corolla Altis,1252999,34919,4,2017,Toyota
5,Hyundai Elite i20,730899,13687,4,2017,Hyundai
6,Maruti Suzuki Alto,343099,29848,4,2018,Maruti
7,Honda Jazz -,707599,21426,4,2018,Honda
8,Maruti Suzuki Baleno,688899,68177,1,2016,Maruti
9,Jeep Compass -,1421599,70650,1,2017,Jeep
10,Maruti Suzuki Alto,399999,25730,4,2017,Maruti
11,Kia Seltos -,1473299,47096,4,2019,Kia
12,Hyundai Creta 1.6,600000,58460,1,2019,Hyundai
13,Kia Seltos -,800000,48000,4,2020,Kia
14,Ford Ecosport -,807499,23698,4,2017,Ford
15,Hyundai Grand i10,522999,37860,4,2016,Hyundai
16,Maruti Suzuki Swift,474299,91830,4,2015,Maruti
17,Hyundai Elite i20,740899,31172,4,2019,Hyundai
18,Toyota Yaris -,1141999,3243,4,2021,Toyota
19,Tata Nexon -,971299,9616,4,2020,Tata
20,Maruti Suzuki Baleno,640999,30249,4,2017,Maruti
21,Maruti Suzuki Baleno,676199,60875,4,2019,Maruti
22,Maruti Suzuki Swift,562399,25740,4,2017,Maruti
23,Ford Ecosport 1.0,580899,38587,4,2014,Ford
24,Renault Triber -,770999,3108,4,2021,Renault
25,Honda Amaze -,531399,35353,4,2016,Honda
26,Hyundai EON Magna,367299,34748,4,2017,Hyundai
27,Maruti Suzuki Alto,412199,2359,4,2020,Maruti
28,Hyundai Creta S,1460099,17814,1,2020,Hyundai
29,Maruti Suzuki Baleno,618699,68934,4,2018,Maruti
30,Hyundai i20 Asta,485000,72600,4,2014,Hyundai
31,Nissan Micra XV,245000,80000,1,2012,Nissan
32,MG Motors Hector,1200000,36000,1,2020,MG
33,Maruti Suzuki Wagon,490199,15840,4,2017,Maruti
34,Maruti Suzuki Baleno,618699,68934,4,2018,Maruti
35,Maruti Suzuki Vitara,920999,32482,1,2017,Maruti
36,Honda City -,554399,113779,1,2014,Honda
37,Maruti Suzuki Wagon,408999,26150,4,2017,Maruti
38,Mahindra XUV 500,1248299,34555,1,2018,Mahindra
39,Maruti Suzuki Baleno,636099,30880,4,2018,Maruti
40,Hyundai i20 Asta,452699,70423,4,2013,Hyundai
41,Hyundai Elite i20,704399,30232,1,2018,Hyundai
42,Volkswagen Polo -,553599,50077,4,2016,Volkswagen
43,Ford Ecosport -,999599,18482,1,2018,Ford
44,Maruti Suzuki Baleno,684699,10246,4,2018,Maruti
45,Maruti Suzuki Baleno,620399,25021,4,2016,Maruti
46,Hyundai Elite i20,549899,70646,4,2014,Hyundai
47,Maruti Suzuki Vitara,812899,45490,1,2018,Maruti
48,Ford Ecosport -,656699,53306,1,2016,Ford
49,Hyundai Creta 1.6,725000,58460,1,2019,Hyundai
50,Hyundai Venue -,600000,29000,1,2019,Hyundai
51,Hyundai Creta 1.6,818599,69215,4,2017,Hyundai
52,Hyundai Verna 1.6,862399,33340,4,2018,Hyundai
53,Renault Triber -,673599,9783,4,2019,Renault
54,Hyundai Santro Sportz,528899,15110,4,2018,Hyundai
55,Maruti Suzuki S,527999,3399,4,2021,Maruti
56,Mahindra XUV 500,791699,89310,1,2013,Mahindra
57,Maruti Suzuki Wagon,392999,53148,4,2015,Maruti
58,Honda City VX,690199,42020,4,2015,Honda
59,Maruti Suzuki Swift,474699,74594,1,2013,Maruti
60,MG Motors Hector,2019899,6110,4,2021,MG
61,Hyundai Grand i10,562299,24346,4,2017,Hyundai
62,Jeep Compass -,1400999,65668,1,2017,Jeep
63,Renault Kwid -,447599,48644,4,2018,Renault
64,Toyota Innova Crysta,1814599,36877,1,2018,Toyota
65,Tata Nexon -,920399,79673,1,2018,Tata
66,Maruti Suzuki Swift,447599,54352,4,2014,Maruti
67,Mahindra Xylo -,525000,107000,1,2015,Mahindra
68,Mahindra Xylo -,525000,107000,1,2015,Mahindra
69,Maruti Suzuki Alto,343299,48658,4,2017,Maruti
70,MG Motors Hector,1711499,11998,4,2020,MG
71,Maruti Suzuki Vitara,918799,32513,1,2018,Maruti
72,Hyundai Grand i10,526399,21372,4,2016,Hyundai
73,Volkswagen Vento -,881099,34178,4,2017,Volkswagen
74,Kia Seltos -,1764199,20547,4,2019,Kia
75,Maruti Suzuki Baleno,639199,34731,4,2016,Maruti
76,Hyundai Grand i10,522999,30536,4,2016,Hyundai
77,MG Motors Hector,1917599,10205,1,2019,MG
78,Maruti Suzuki Wagon,466599,25483,4,2017,Maruti
79,Toyota Corolla Altis,1397699,39113,4,2017,Toyota
80,Maruti Suzuki Ignis,504399,43152,4,2017,Maruti
81,MG Motors Hector,1920399,5325,4,2020,MG
82,Ford Ecosport -,917599,44705,4,2018,Ford
83,Toyota Etios -,319099,70022,4,2011,Toyota
84,Maruti Suzuki Celerio,484399,47435,4,2017,Maruti
85,Honda City 1.5,73000,195000,4,2001,Honda
86,Hyundai Verna 1.6,1550000,13000,4,2022,Hyundai
87,Mahindra e2o T2,420000,46000,2,2016,Mahindra
88,Toyota Fortuner 4x4,1595000,72000,1,2015,Toyota
89,Hyundai Xcent -,573499,29026,4,2016,Hyundai
90,Hyundai Creta 1.6,879199,59258,4,2015,Hyundai
91,Mahindra XUV 500,733399,120399,1,2014,Mahindra
92,Maruti Suzuki Vitara,967599,28853,1,2018,Maruti
93,Honda City -,1539299,9811,4,2020,Honda
94,Hyundai i20 Active,561499,43538,4,2015,Hyundai
95,Hyundai Creta -,1042699,66400,4,2017,Hyundai
96,Maruti Suzuki S,1032099,59341,1,2017,Maruti
97,Hyundai Creta -,903499,56246,4,2016,Hyundai
98,Honda Amaze -,472499,35944,4,2014,Honda
99,Honda WR V,771299,17699,4,2018,Honda
100,Maruti Suzuki Wagon,447099,41065,4,2017,Maruti
101,Renault Kwid -,504599,2311,4,2019,Renault
102,Hyundai Grand i10,620999,2991,4,2018,Hyundai
103,Hyundai Grand i10,433999,29762,4,2015,Hyundai
104,Skoda Rapid -,627499,91917,1,2016,Skoda
105,Renault Kwid -,504599,2311,4,2019,Renault
106,Maruti Suzuki Dzire,704199,30771,4,2018,Maruti
107,Hyundai Santro Sportz,513099,29488,4,2018,Hyundai
